Pricing Report,,,,,,
,,,,,,
"Generated: 05/16/2024, 04:52 PM",,,,,,
RQST By: ROMERO ONIRIA,,,,,,
**** CONSTRUCTION DETAILS ****,,,,,,
Part A,,,,,,
CFAS Project #: A02PQP1,,,,,,
CMC: FLRSB,,,,,,
FRC: 845C,,,,,,
Pricing Date: 05/16/2024,,,,,,
,ITEM DESCRIPTION,MCF,FKF,QTY,UNIT COST,AMOUNT
,,,,,,
,,=======,=======,,,=======
,,0,0,,,0
,,,,,,
,,,,,,
**,TOTAL MATERIAL,,,,,0
,PLACING LABOR,,,0.00 HRS,138.8,0
,SPLICING LABOR,,,0.00 HRS,138.8,0
,,,,,,
**,TOTAL LABOR,,,,,0
,CONTRACT,,,,,0
,,,,,,
**,TOTAL CONTRACT,,,,,0
,ENGINEERING,,,0.00 HRS,145.44,0
,,,,,,
**,TOTAL ENGINEERING,,,,,0
,"TOTAL MATL, LABOR, CONTRACT, ENGR",,,,,0
,,,,,,
**,GRAND TOTAL,,,,,0
,,,,,,
,LABOR HOURS:,,,0,,
,ENGR HOURS:,,,0,,
,OVERHEAD COST:,,,0,,
"Generated: 05/16/2024, 04:52 PM",,,,,,
RQST By: ROMERO ONIRIA,,,,,,
**** CONSTRUCTION DETAILS ****,,,,,,
Part A,,,,,,
CFAS Project #: A02PQP1,,,,,,
CMC: FLRSB,,,,,,
FRC: 822C,,,,,,
Pricing Date: 05/16/2024,,,,,,
,ITEM DESCRIPTION,MCF,FKF,QTY,UNIT COST,AMOUNT
,STRAND-6,0,0,1251,Exempt,0
,5B92MR-864,0,3908.736,4564,3.68,"16,795.52"
,,,,,,
,,=======,=======,,,=======
,,0,3908.736,,,"16,795.52"
,,,,,,
,EXEMPT MATERIAL --- TELCO,,,169.58 HRS,30.17,"5,115.84"
,SUPPLY EXPENSE,,,21911.36,0.08,"1,752.91"
,,,,,,
**,TOTAL MATERIAL,,,,,"23,664.27"
,PLACING LABOR,,,59.40 HRS,138.8,"8,244.40"
,SPLICING LABOR,,,110.18 HRS,138.8,"15,293.29"
,,,,,,
**,TOTAL LABOR,,,,,"23,537.69"
,CONTRACT,,,,,0
,,,,,,
**,TOTAL CONTRACT,,,,,0
,ENGINEERING,,,13.34 HRS,145.44,"1,939.51"
,,,,,,
**,TOTAL ENGINEERING,,,,,"1,939.51"
,"TOTAL MATL, LABOR, CONTRACT, ENGR",,,,,"49,141.47"
,,,,,,
**,GRAND TOTAL,,,,,"49,141.47"
,,,,,,
,LABOR HOURS:,,,169.58,,
,ENGR HOURS:,,,13.34,,
,OVERHEAD COST:,,,0,,
"Generated: 05/16/2024, 04:52 PM",,,,,,
RQST By: ROMERO ONIRIA,,,,,,
**** CONSTRUCTION DETAILS ****,,,,,,
Part A,,,,,,
CFAS Project #: A02PQP1,,,,,,
CMC: FLRSB,,,,,,
FRC: 1C,,,,,,
